,Customer Name,Customer review
10,Lizz,"Appearance: Looks great and is lightweight. The band has a very large size range. If you like silicone bands its nice, very smooth and flexible. I got the color gray and it has already started picking up color staining from my jeans. I would think the other light band colors would do the same so if this is a problem for you go with a dark color. I personally don't care because I'm getting a chainlink band.  Screen: The screen is great!! Easy to see in the sun light even when on the dim setting. This was something I hated about my Fitbit Charge3, the screen was invisible in the sun. It has crisp and clear images, text is very easy to read. Responsive to touch and actuate to where you touch.  Battery life: Fantastic! I use the dim setting and it lasts about 10 days. Also charges pretty quickly.  Fitness tracking: Okay, this is the biggest problem for me personally. Most of my outdoor exercise is walking/jogging while pushing my toddler in the stroller. It will not track steps or distance when I am holding the handle bar. If you are doing regular running, hiking, ect it works fine; but I do wonder how it would do tracking cycling as your hands are put in a similar position holding the handle bars. A positive that I got even with it struggling to track my movment, it still monitors heart rate and shows what workout zone you are it for calories/fat burning and I do like that.  HR/step/sleep tracking: day to day use works perfectly fine and I found it as accurate at my old Fitbit Charge3. The sleep tracking is a little off and hard to understand on the app, so be warned if that matters to you.  App: Easy to set up, very basic, and does its job. No issues with it but not overly impressed. Its fine.  Other features: My 2 favorite things are the weekly totals screen and find my phone. Love how easy to access the weekly total screen is, and the find my phone ability it great. It uses the volume for your phones media setting not the ringtone, so even if your phone is on vibrate it will still make noise if the media volume is on. Very handy! More watch faces would be nice, it lacks a good analog face and the digital faces do not track seconds; however there are some very pretty ones. Relax feature for breathing is basic and fine.  Overall: Worth the money and do recommend it as a good alternative to the big name brands. Other than the problem with tracking my walks/jogs while pushing the stroller I'm very pleased (and again if you're doing other activities it does track those much better). I knew there would be flaws going in because it is cheaper, but for me the few flaws it has are worth dealing with for the price. Deffenitly intend to keep using till it dies! 68 people found this helpful"
11,Kailua Sam,"I had an identical watch from ""Yamay"" which no longer is on Amazon. Might be same company, I dunno. I was looking for a simple inexpensive watch that provided the following features: 1. Water proof, at least in shower, washing dishes, surfing small to mid-sized waves 2. At least 10 alarm settings to wake me up without waking up my wife 3. Big letters 4. Step counter but not actually very important to me. Ball park counting is good enough 5. Simple to navigate 6. Sleeping info  This watch does all of the above. Not really sure about the steps as I haven't paid attention to it. I assume it is same as my Yamay watch and is not very accurate but provides a ball park. FYI, if my hands are on a shopping cart I'm pushing, no steps are counted.  My main features are met and price is low. Easy to install the software, downloaded from Google Play but had to uninstall previous installation for my Yamay. FYI, the Yamay lasted about 3 years. Not great, not bad. I guess good for the price/features.  I would buy it again. 13 people found this helpful"
12,mathman419,"I purchased originally in July 2022, and I was very pleased with the quality and look of the product. It was a rare instance where the quality exceeded the cost. Two months later, my screen suddenly went dark. The tracker itself continued to work as I was able to see metrics via the app. Customer service was great and they replaced the tracker with very minimal effort (I just took a video of me plugging in the tracker and showed the screen not lighting up). Upon receiving, FitPolo sent me a new tracker immediately. One person found this helpful"
13,AZN8TV,"I ordered this as a step tracker. What I got was so much more.  I love the big, bright display. It tells me what time, day and day of the week. As a retired person, I need that sometimes.  The app download was pretty easy, yet I'm not sure I will use it much. I don't care to have my information shared or like to compete with others in step count. Personal preference.  This watch/step counter would be great for any older person who needs a little help by way of a simple watch.  As far as the battery goes, I only wear it during the day. I take it off when I go to bed. The temptation to check the time would interfere with my 8 hours of sleep. The battery has lasted WELL. I got in on Friday, charged it, then started wearing it on Saturday morning. So far, I've only used 10% of the battery.  Love this product! 6 people found this helpful"
14,Jeff Brown Jr.,"I've had this model/brand of watch before. After long years of daily wear and tear, the strap finally broke. (My job is very hands on) To this day my old one still works and still charges well, just no wrist strap anymore. This brand of smart watch is really good for the price you pay. I personally don't use some of the functions, like the email and sleep app, but if you want a nice smart watch, and don't want to pay an outrageous price, this is the one you want. One person found this helpful"
15,T-Man,"This is a cheap fitness tracker and does what I need it to do. The features on this are limited so don't expect it, as some review claim, to be comparable or better than a name brand smart watch. The step tracker is accurate, I tested it several times by taking 100 steps and it counted them all within a +-10steps. I do like that it can track my walking, running, and gym workouts. While it tracks in ""sport"" mode it also constantly measures your heart rate so you can keep a pace that's suitable to what you want to do (i.e keep a bpm to burn fat). The app for this watch is ok, it syncs with Google Fit, but to use the app you have to keep Bluetooth and location turned on at all times. One work around for me: I sync the watch with the app once a day at night rather than having it sync all day and drain my phone battery. Sleep tracking requires that you wear the watch to sleep...no thanks, I don't use that feature. If you're ok with sleeping with the watch on go for it, let me know how it works out for you. The face can't be changed, a couple of different options are available but the default is probably the best one. The control knob sticks out quite a bit. When I workout at the gym and put on weightlifting gloves they tend to press the control knob of the watch and stop the exercise tracker even if I switched the wrist I wear the watch on(left for now) I believe the knob would still get pressed on accident. Battery life is solid it can go 3-4 days with workout tracking not needing to be charged. After 15% battery life it will not track your workout and will need to be charged. If you're looking to track your daily workout, step count, and stay in shape this is an ideal starter fitness tracker watch. It's durable enough to wear in a gym and weightlift with, sweat doesn't impede it's functions. Go for it give this watch a try it's a great deal at the current price point. 9 people found this helpful"
16,Emily.,"I’ve had a super cheap one (like $20 ones) and it was horrid. So I got this one, works better than the super cheap one. Definitely doesn’t have very many functions like a Fitbit or Apple Watch. The sleep tracker seems to be a bit off. I noticed if I fall asleep, wake up and am up for a while and go back to sleep, it only tracks the second time. It doesn’t track my naps either. Other than that, I don’t really have any complaints. It tracks my steps perfectly, my heart rate. and I can get the important notifications (texts, calls, messenger) on it. 5 people found this helpful"
17,Sarai,"So far, I think this is a good product for it’s price. It tracks every step, heart rate, workouts etc. However, one workout that it does not include is swimming. You get notifications of txts messages, social media and incoming calls. You can only receive these notifications but cannot respond through the fitbit. You can however hang up the incoming calls but can’t answer it from the watch. Overall, it’s a great product for it’s price. 3 people found this helpful"
18,Christopher Jason Cuppett,"I used to own a Samsung Galaxy Gear Frontier smartwatch that allowed me to exercise without my phone. I would go for a run with just my watch, start and stop the exercise activity with just my watch, and it would record everything. Later when I was back from my run I would sync my watch with my phone's Strava app and it would show me all the details of my exercise, including my route location because the watch had GPS built-in.  Unfortunately the battery on the watch died after about three years. Since the Samsung Galaxy Gear was very expensive and had a bunch of features that I did not use, I decided to look around for a cheaper smartwatch that could give me the few features that I wanted: step counter, heart rate monitor, sleep tracker, and exercise route location tracker that would sync with the Strava app.  While I was looking for a new watch, the only way I could get step counting, run distance, and route tracking during my exercises was to run with my phone. This was awkward because my phone is heavy and would bounce around in my pocket while I ran. If I strapped my phone into an armband then it was still awkward because it was difficult to pull the phone out of the armband to stop my exercise recording.  My situation and wanted requirements led me to this FitPolo smartwatch. Based on the product description it had everything I wanted. Once I got it and finished setting it up, I was eager to finally go for a run with just my watch and leave my phone behind at my house. Yet when I got back from my run and synced my watch with the VeryFitPro app, I immediately ran into two problems: it did not show my route location on the VeryFitPro app, and I could not get the app to sync with Strava.  Let me first describe the Strava sync issue. The VeryFitPro does appear to have a link for syncing with Strava. You go to User --> Third party program --> Strava. After you tap that it takes you to a privacy disclaimer where you get two options: ""I agree"" and ""Disagree"". If you tap on ""I agree"", nothing happens for about three seconds, but then the screen goes blank white and takes you back to the Third party program menu. If you tap on Strava again you see the same disclaimer! It never actually sets up the sync with the Strava app. You can keep trying to tap on ""I agree"" and it will never work. I must have tapped on it a dozen times just to make sure it wasn't a temporary glitch. I even restarted the watch and my phone and it still would never sync with Strava.  Regarding the route location tracking issue, the VeryFitPro app would show me all the statistics of my run but the map would be empty. By empty I mean it would show a map of the world, but the map would be centered on west Africa. If I manually moved the map with my fingers to my location near Dallas, Texas, USA then it would not show any route lines, even if I zoomed into where I ran. I later came back to the product description and read that Q&A about the GPS feature. The manufacturer claims that in order to get the GPS tracking to work you need to start the exercise on the VeryFitPro app. So that's when I realized that the watch doesn't have GPS at all, it simply links to the phone app and uses the GPS feature on the phone to work. I consider that very misleading. I know that my phone has GPS. I want a watch that has built-in GPS so I don't have to run with my phone!  For the reasons listed above I decided to return the two FitPolo watches that I purchased because they did not meet my needs (one of the watches was for my daughter). There were some good things about the watch that I feel I should mention as part of this review. The heart rate monitor worked well. You could get your current and historical heart rates with both the watch and the VeryFitPro app on the phone. I slept once with the watch and it appeared to give accurate sleep statistics in the morning. The step counter appeared to work well. It had some nice features like ""find my phone"" that would ring your phone from your watch if you misplaced it somewhere. The watch could be configured through the VeryFitPro app to show notifications from your phone like calendar reminders and new texts. Also, I suppose if you were to strap your phone into an armband you could possibly get route location tracking while still being able to start and stop your exercise on the watch. I did not test this though because I don't want to have to run with my phone at all. 4 people found this helpful"
19,Ata,"The screen is my biggest complaint. You can’t really customize it and the actual screen is smaller than it looks, half of the screen is just frame."
20,Amazon Customer,"My daughter bought it and she really likes the look and the features. However, it is a little difficult to work with as many settings must be done through the app, like changing the time and setting the alarm. Not what I expected in a smart watch... One person found this helpful"
21,marva knight,Thus watch I've purchased I think 3 times. First 2 times the band kept breaking because I'd get it caught on something. The first time I purchased...returned and received a replacement. 2nd watch broke too but I just put super glue on it and kept it because I liked the functionality of the watch. Well I decided to purchase again and I am so pleased with this watch. The watch gets caught often because I'm clumsy but now with the metal pin it fixable. But I don't agree with the sleep tracker...I would definitely recommend this watch  3 people found this helpful
22,Wannabefarm,"It does exactly what it is supposed to do, but I wish I had gotten one like my husband's which does the blood pressure and o2 saturation as well. When I ordered mine, I didn't realize that this is an option on some. I just loved the green band."
23,Amazon Customer,Unable to set time and dat and doesn't have gps as listed in description
24,Amazon Customer,"This is the second one that I bought. The first tracker still works great, the band was pink and doesn’t look as clean from the clothes dye. I bought the black one this time and still very happy with it . I think it works as good as name brand. Only charge it once a month !!!!"
25,AlexiaMontali,Watch is great! I like how it keeps track of my steps and activity! Comfortable to wear. I wish the screen would show me the time just by taping on it instead of pressing the side button but otherwise I’m happy with it! 
26,Mike,"Had to return after 2 days, but got a new one next day!! So far good after 1 week"
27,E,"I purchased this watch with extremely low expectations given the price. Whether or not it's for you depends on what you're looking for in a health tracker. I was looking for a simple device that's more advanced than a basic step counter and with more features than the health app that's built into my iPhone. I had no interest in an elaborate device with a wide range of features I'd never use or need. I've always used my iPhone to monitor my steps, walking distance, and sleep. However, I don't always carry my phone and its sleep tracker is rarely accurate and stops with any phone use before getting out of bed. So, I wanted something I could wear to improve step and sleep accuracy. Specifically, I wanted a tracker that included: step count, calories burned, fitness monitor (walking, biking, hiking), sedentary alert, sleep monitor, women's health tracking, timer, and stop watch. I also wanted a BP monitor, but settled on the Fitpolo after days of research as it had everything I wanted except this feature.  Likes: -Battery life is outstanding. I started using it out of the box (it was already charged to 97%) and after wearing it for 14 days straight it is now at 15%. -Sedentary alert. This is my favorite feature and was among the top priorities for me in a health tracker. You can specify the alert intervals as well as start and end time during the day. -On the rare occasion the sleep monitor works, it records the amount of deep sleep and light sleep. -Though I wasn't interested in tracking heart rate, it's accurate (0-4 bpm difference when I compare the number to other heart rate measurements or I count my pulse). -The fitness tracker works properly. -The women's health monitor works properly. -The music controller functions properly. -The device is simple, user-friendly, and easy to read. -I had no issues syncing the Fitpolo with my iPhone and syncing its data with my phone's health app.  Dislikes: -Unlike other fitness tracking apps, the Fitpolo timer keeps going if you stop during your activity. You have to manually pause or stop the activity. This is a minor inconvenience for me. -I realize you get what you pay for, but the app is terrible. It's a cheap product so I knew to expect a cheap app (quality, value, user experience). On the bright side, it works, it's easy to use, and tracks all data. The app (along with the sleep monitor) is the primary reason for my low overall rating. Also, the app doesn't sync automatically. I have to frequently refresh it manually to update or view the data. -The sleep monitor is extremely erratic. Sometimes, it's fairly accurate, other times it incorrectly records little to no sleep, and once it recorded that I was asleep when I was awake and not in bed. -I bought the pink version (because black was unavailable) and the band already looks discolored after 14 days of use. This is also plan to replace it with a black band.  Miscellaneous: -When I compare my phone's built-in step counter with the Fitpolo during outdoor walks, the Fitpolo has lagged behind by up to ~120 steps. So, I did some tests (indoor and outdoor) without the devices synced and compared the step count. Each time, the Fitpolo had fewer steps. I can't definitively say which is most accurate as it's possible that my phone is more sensitive to any movement and this is not necessarily a flaw with the Fitpolo. When I walk slowly and count my steps, the Fitpolo is pretty accurate.  Overall grade: B-. Despite some flaws, I plan to continue to use my Fitpolo because it meets nearly all of my intended needs and what it offers is reasonable for the price. Since my only desire is to monitor specific health data that my phone either doesn't track or misses (I have no interest in texts, calls, or other features unrelated to wellness), I'm satisfied with my purchase. 7 people found this helpful"
28,theunartist,"As far as I can tell, this is a really good value for what you get. It's a strong 4 star but lacking important details. The band is also on the weaker side.  This Smart Watch CANNOT properly function without first charging and using the APP for pairing. It does not pair directly to your Bluetooth but through the APP!!! I was able to pair/bind this using an Android phone with not issues. You will need to carefully follow screen prompts. After pairing with APP, the watch will automatically set time/date and language. Watch is ready to wear!!!  Here are the issues. There are no real instructions/directions, basically you will need to use common sense when trying to configure watch to notify you of incoming messages, SMS and other things like FB, IG, etc. The directions are very lacking to say the least. Paper instructions are much too vague with only a few hints, etc. You cannot use all options without first using the settings in the APP. The watch will most likely ""over count"" your steps but making sure you have correct weight and height in settings may help.  They should have, at a minimum, something online be it a video or website, explaining in greater DETAIL all the possible functions of the watch. I can understand reviews that state frustration with pairing, functions etc and it's probably due to lack of clear and detailed instructions.  All in all, would buy again. I really don't need the notifications but steps and heartbeat mostly. 12 people found this helpful"
29,Brenda King,"My young son bought this watch and loves it! He caught it on something and the fastener flew off, but we couldn't find that piece anywhere. Looking for a replacement band. He loves the watch and features. "
30,Yehuda F.,I got this for my son and he is enjoying it very much. The battery charges in 25 min and lasts for 20 days!! My son doens't stop thanking me for this present I got him! He says the screen is very sharp and gets alot of compliments.
31,Shari,"Have been using the product for a little over a day and will probably change my opinion as I use it more...  I've used a fitbit for about 2 years and am slowly growing unhappy with the company and their ignoring of bugs and putting ask for features behind a paywall. Because of this I'm trying more reasonable priced watches.  In the picture, the Fitpolo is on the left and the fitbit on the right.  I will try and compare apples to apples. 1) before receiving my fitbit I could download the app and open it up and start to set up the information. the fitpolo I could download the app, but had to wait for the watch before it would open. (not a big deal)  2) get the fitpolo and tried to see if it would fit on my small wrist. Of course not, but neither did the fitbit. fitbit had a lot more option for wristbands. I finally found one for fitpolo and should be a good size. Should be here in a month or two (a little bigger deal, since I don't know if that is throwing off the accuracy. Also the watch is not comfortable to wear). Wonder if an extra hole or two might have made a difference.  3) face dial. both watches can change that information, but the fitbit has a lot more options. fitpolo only has about 5 different faces. None of them let me see the calorie, step count, or mileage on the main screen. I might be able to get use to it.  4) step accuracy is a little off. counting my steps it adds a couple. fitbit is a little more accurate. As of right now, fitpolo says I've walked 8922 steps today. fitbit has 7624. both them let me swing my arms, put hands in pockets, hands on hips, and hands wrapping coat around while walking. fitbit has issues pushing carts or strollers, haven't tried with fitpolo but I'm guessing will be the same  5) have not tested mileage yet. fitbit is fairly accurate and is behind fitpolo by about a mile.  6) calories I have no idea. they both determine this differently. the fitbit will count cals even when I'm not doing anything (it was counting cals even before I got the watch). I think fitpolo only counts when you're active. This might be a problem. The only two things I really care about is calories and sleep. If I can find the calorie count is consistent over a period of time, I can adjust.  7) sleep is another question mark. fitpolo says I slept last night for 5 hours 17 minutes. fitbit 6 hours 6 minutes. It seems I woke up after 90 minutes. fitpolo lost that time. I haven't tried to take a nap and see if it counts that. fitbit you seem you have to be asleep for about an hour before it counts  8) still getting use to app, but it doesn't really compare to all the information the fitbit has. At least it does seem accurate and I eventually can find what I need.  9) fitpolo is water proof (I haven't seen complaints that it isn't) where fitbit is just water resistant. It was nice to be able to hop into the shower without having to remove the watch  10) another nice feature of fitpolo is the find my phone feature. I know that will come in handy  11) some things fitpolo is missing are friends, counting floors, challenges. (I'm not sure about weight tracking)  12) keep moving feature. fitpolo has an option to remind you to move after a time you set. fitbit just has a 250 steps an hour challenge (can't change the number of steps and only limited to a certain number of hours a day)                               94 people found this helpful"
32,Miss Ashley2283,"This has a lot of potential but we couldn’t get it to connect with the iPhone. The size is perfect, just like an iwatch."
33,Caroline,Great watch for the price! Battery life is great. I got it for emerald point so it is definitely water resistant! Also got it for counting steps works great for that too.
34,Teddy Hodges,"I needed a watch to wear to the pool, lake and camping and this watch does all that. I like that it tracks my sleep and does the other stuff as well."
35,Brenda J. Sweeney,"I like this watch, the only thing I dislike is that it doesn’t have a water aerobics or swimming app. So far battery life usually last a week or so. Wear it all the time. One person found this helpful"
36,Matthews,Purchased for my mother-in-law who found it very easy to use. Great value when compare to brand names. Highly recommended.
37,Natália De-Paula,I love this watch because: 1st - the battery last for about 10 days. 2nd - people think is an Apple Watch 3rd - super cute
38,Rachel Fickel,"Bought this smartwatch to test out if I would maybe one day want a Samsung watch. But did not want to commit over $300 for something I may not even use because I thought they seemed overrated. But being a woman who wears business casual I find that I do not have pockets available for my phone and may not carry it all the time.  At first glance it is a very sleek design and comfortable to wear. Fits a slim wrist very well and doesn't cause any discomfort.  It does very simple functions. Tells time obviously. Checks heart rate, counts your steps, let's you control your music by pausing or skipping to the next song. I'm hoping to use it to stop/play my audio books. Has find your phone option. Will let you receive text message alerts, email alerts, Instagram alerts, and Twitter notifications. Does NOT allow you to respond back. If they send you a picture via text all you see is an X (image) type of font notification.  Only real complaint that I would have about this watch is that I can't change or upload any watch faces. But that is my fault as I did not fully research the watches capabilities and it does not support Android technology like that. Only connects to the app that it was designed to use to communicate with your phone.  If you want a watch that is within your budget under $50 this is it upon first glance. I will update (if I can remember) when I hit the 6 weeks mark of constant use to see if my opinion is the same.          21 people found this helpful"
39,Katie,Good watch for the price. Tracks steps well. Battery lasts a long time.
40,karsum,"I bought this primarily for a step tracker. I liked the option for fitness activities, but unfortunately due to health issues I haven’t been able to use them much. I almost returned this and then thought I’d give it another week. Then I realized I was pst the return date. My steps always seem to be low. If I go for a hike with my kids they will often get double the steps I do. If I shopping, it won’t count my steps if I’m pushing the cart. Even my health app on my phone shows about 1,000 steps or more than what the watch does. I’ll have to keep it for now, but I don’t recommend it if your purpose is yea king steps. I won’t be buying this brand again. I do like the VeryFitPro app. The fact that this watch worked with that app is why I bought it. The face is lit well. It doesn’t pull up well when I push the button. I can always read the face. The activity options are good. Most of the time it syncs with my phone to show calls and texts. But not always. 2 people found this helpful"
41,Angela C.,"I ordered a watch for my daughter and it was fantastic! The battery usually lasted about 5 days before needing a recharge. 9 months after we bought it, it suddenly stopped working. I reached out to the company to make a claim on the 1 year warranty and they responded within minutes. Within a week I had a replacement. I really appreciate companies that stand by their product and this company was wonderful to work with!  5 people found this helpful"
42,Jayden S.Mendez,"Overall I think this is the definition of you get what you pay for. The led screen doesn't actually go around the entire glass screen that the images actually show. The sleep tracking and heart rate tracking is not the best, it just sucks overall and really disappointing compared to the other brands out there. The step counter sucks too because it measures a step by you raising and lowering your arm, which isn't every accurate. I only use it for time, otherwise I just don't use it. Also whenever your not wearing it, while it's still on, it flashes a green led light that tries to scan if your wearing it, I think that feature is really annoying especially when it's charging and your about to fall asleep. One person found this helpful"
43,Lagertha,"So far I have been very pleased with this watch. I haven't figured out or used all of the features, but it does seem to be fairly accurate for calculating distance walked/run. The app on my phone does keep track of all data, but it seems to update slowly. I'll go to check my history and there will be no data for the last three days. When I go back later to check, the data will be there. 2 people found this helpful"
44,Amazon Customer,Keeps excellent time and charge lasts days!!!
45,serrell,Band latch broke off on the first wearing
